student_id,term_id,first_name,last_name,credits_earned,date_of_birth,student_employee,gpa,academic_plans,enrollment_id,course_title,class_id,grade,age,course_subject,course_number,course_section
111967,2221,Whitby,Cattlow,142,12/24/03,1,2.88,Engineering - Undetermined,86175930,General Physics 1,PHYS-1-1110-16,87.45,18,PHYS,1110,16
809492,2221,Niven,Duer,123,10/9/03,0,3.12,Philosophy,63632222,General Biology 2,EBIO-1-1220-3,86.93,19,EBIO,1220,3
768882,2221,Glenn,Petrovic,122,3/16/04,0,3.48,Humanities Concurr Deg,99318055,General Physics 1,PHYS-1-1110-16,90.09,18,PHYS,1110,16
948790,2221,Madonna,Butter,120,3/30/00,0,3.35,Engineering Phys & Business,44936243,General Biology 1,EBIO-1-1210-10,83.86,22,EBIO,1210,10
195880,2221,Kavi,Choudhary,135,3/26/04,0,3.37,Journalism - Open Option,64402218,General Biology 1,EBIO-1-1210-10,79.43,18,EBIO,1210,10
195880,2221,Kavi,Choudhary,135,3/26/04,0,3.37,Journalism - Open Option,76295640,General Chemistry 1,CHEM-1-1113-21,84.99,18,CHEM,1113,21
265354,2221,Dorotea,Macak,108,10/18/03,0,2.77,Statistics and Data Science,13707188,General Chemistry 1,CHEM-1-1113-21,91.73,19,CHEM,1113,21
265354,2221,Dorotea,Macak,108,10/18/03,0,2.77,Statistics and Data Science,91545502,General Physics 1,PHYS-1-1110-15,94.56,19,PHYS,1110,15
729552,2221,Cherish,Aitcheson,139,12/3/03,0,4.0,"Economics, Concurrent Degree",44304531,General Biology 1,EBIO-1-1210-11,93.96,18,EBIO,1210,11
789476,2221,Carlyle,Prujean,119,9/24/98,0,2.41,Public Relations & Business,67208610,General Biology 2,EBIO-1-1220-3,71.89,24,EBIO,1220,3
610331,2221,Portie,Le Grys,117,9/1/00,1,3.75,Organization Management,31208580,General Biology 2,EBIO-1-1220-3,65.14,22,EBIO,1220,3
672546,2221,Toma,Planks,133,5/2/98,0,2.99,Open Option,77990583,General Biology 1,EBIO-1-1210-11,83.61,24,EBIO,1210,11
672546,2221,Toma,Planks,133,5/2/98,0,2.99,Open Option,50453876,General Chemistry 1,CHEM-1-1113-21,84.05,24,CHEM,1113,21
672546,2221,Toma,Planks,133,5/2/98,0,2.99,Open Option,79974460,General Physics 1,PHYS-1-1110-16,92.2,24,PHYS,1110,16
295972,2221,Atlanta,Fretter,138,5/5/00,0,2.61,Music & Business,79883934,General Biology 2,EBIO-1-1220-3,60.91,22,EBIO,1220,3
437005,2221,Olwen,Beveredge,135,9/14/99,0,2.15,Religious Studies,30725669,General Biology 2,EBIO-1-1220-1,68.52,23,EBIO,1220,1
197853,2221,Odelle,Meni,136,6/14/99,0,4.0,English,52405021,General Biology 1,EBIO-1-1210-10,82.09,23,EBIO,1210,10
741056,2221,Kaylil,Fozzard,116,10/14/99,0,4.0,Piano Performance,70231507,General Biology 2,EBIO-1-1220-3,79.69,23,EBIO,1220,3
821625,2221,Ellswerth,Bromidge,117,10/24/02,0,4.0,Architectural Engineering,98593765,General Biology 1,EBIO-1-1210-10,90.18,20,EBIO,1210,10
877525,2221,Portia,McCaughey,111,12/13/03,0,2.35,"Information Systems, Conc Degr",50420571,General Biology 2,EBIO-1-1220-1,84.21,18,EBIO,1220,1
508073,2221,Karil,Birkmyr,126,2/27/02,0,2.9,"Information Systems, Conc Degr",13572167,General Biology 2,EBIO-1-1220-3,94.16,20,EBIO,1220,3
507062,2221,Juditha,Callington,131,3/28/02,0,1.28,Elec Engr & Computer Sci,41067587,General Biology 1,EBIO-1-1210-11,82.95,20,EBIO,1210,11
100924,2221,Munmro,Shuxsmith,109,8/4/02,0,2.63,Classical Antiquity,33580145,General Biology 1,EBIO-1-1210-11,75.88,20,EBIO,1210,11
100924,2221,Munmro,Shuxsmith,109,8/4/02,0,2.63,Classical Antiquity,88796458,General Chemistry 1,CHEM-1-1113-22,78.97,20,CHEM,1113,22
281850,2221,Shelia,Seldner,141,9/2/03,0,4.0,Linguistics;French,58666432,General Biology 2,EBIO-1-1220-1,62.95,19,EBIO,1220,1
